TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,1,10,10.0,0.0,10000.0,1.0,1.0,0.11699999868869781,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,5,50,10.0,0.0,10000.0,1.0,1.0,1.527999997138977,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,6,60,10.0,0.0,10000.0,1.0,1.0,0.5730000138282776,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,7,70,10.0,0.0,10000.0,1.0,1.0,0.05000000074505806,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,10,100,10.0,0.0,10000.0,1.0,1.0,1.6729999780654907,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,11,110,10.0,0.0,10000.0,1.0,1.0,3.746999979019165,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,14,140,10.0,0.0,10000.0,1.0,1.0,0.5630000233650208,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,15,150,10.0,0.0,10000.0,1.0,1.0,1.1920000314712524,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,16,160,10.0,0.0,10000.0,1.0,1.0,0.8399999737739563,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,19,190,10.0,0.0,10000.0,1.0,1.0,0.5979999899864197,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,21,210,10.0,0.0,10000.0,1.0,1.0,3.937999963760376,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,22,220,10.0,0.0,10000.0,1.0,1.0,1.5169999599456787,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,24,240,10.0,0.0,10000.0,1.0,1.0,0.5630000233650208,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_CW_HW_M.HW.CT,30,300,10.0,0.0,10000.0,1.0,1.0,0.46299999952316284,0.0
