TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_DR_HW_M.young,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.young,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.young,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.young,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.young,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.young,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.young,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.young,7,70,10.0,0.0,10000.0,1.0,1.0,1.6160000562667847,0.0
feature.Seral.CWHvm_DR_HW_M.young,8,80,10.0,0.0,10000.0,1.0,1.0,7.64900016784668,0.0
feature.Seral.CWHvm_DR_HW_M.young,9,90,10.0,0.0,10000.0,1.0,1.0,23.972000122070312,0.0
feature.Seral.CWHvm_DR_HW_M.young,10,100,10.0,0.0,10000.0,1.0,1.0,20.20800018310547,0.0
feature.Seral.CWHvm_DR_HW_M.young,11,110,10.0,0.0,10000.0,1.0,1.0,9.567999839782715,0.0
feature.Seral.CWHvm_DR_HW_M.young,12,120,10.0,0.0,10000.0,1.0,1.0,7.298999786376953,0.0
feature.Seral.CWHvm_DR_HW_M.young,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.young,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.young,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.young,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.young,17,170,10.0,0.0,10000.0,1.0,1.0,1.6160000562667847,0.0
feature.Seral.CWHvm_DR_HW_M.young,18,180,10.0,0.0,10000.0,1.0,1.0,1.6160000562667847,0.0
feature.Seral.CWHvm_DR_HW_M.young,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.young,20,200,10.0,0.0,10000.0,1.0,1.0,12.812000274658203,0.0
feature.Seral.CWHvm_DR_HW_M.young,21,210,10.0,0.0,10000.0,1.0,1.0,12.996000289916992,0.0
feature.Seral.CWHvm_DR_HW_M.young,22,220,10.0,0.0,10000.0,1.0,1.0,0.18400000035762787,0.0
feature.Seral.CWHvm_DR_HW_M.young,23,230,10.0,0.0,10000.0,1.0,1.0,10.97599983215332,0.0
feature.Seral.CWHvm_DR_HW_M.young,24,240,10.0,0.0,10000.0,1.0,1.0,13.244999885559082,0.0
feature.Seral.CWHvm_DR_HW_M.young,25,250,10.0,0.0,10000.0,1.0,1.0,2.2690000534057617,0.0
feature.Seral.CWHvm_DR_HW_M.young,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.young,27,270,10.0,0.0,10000.0,1.0,1.0,7.298999786376953,0.0
feature.Seral.CWHvm_DR_HW_M.young,28,280,10.0,0.0,10000.0,1.0,1.0,8.914999961853027,0.0
feature.Seral.CWHvm_DR_HW_M.young,29,290,10.0,0.0,10000.0,1.0,1.0,1.6160000562667847,0.0
feature.Seral.CWHvm_DR_HW_M.young,30,300,10.0,0.0,10000.0,1.0,1.0,10.557999610900879,0.0
