TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_CW_L.immature,0,0,10.0,0.0,10000.0,1.0,1.0,5.122000217437744,0.0
feature.Seral.CWHvm_HW_CW_L.immature,1,10,10.0,0.0,10000.0,1.0,1.0,5.122000217437744,0.0
feature.Seral.CWHvm_HW_CW_L.immature,2,20,10.0,0.0,10000.0,1.0,1.0,5.122000217437744,0.0
feature.Seral.CWHvm_HW_CW_L.immature,3,30,10.0,0.0,10000.0,1.0,1.0,9.75,0.0
feature.Seral.CWHvm_HW_CW_L.immature,4,40,10.0,0.0,10000.0,1.0,1.0,6.692999839782715,0.0
feature.Seral.CWHvm_HW_CW_L.immature,5,50,10.0,0.0,10000.0,1.0,1.0,14.005999565124512,0.0
feature.Seral.CWHvm_HW_CW_L.immature,6,60,10.0,0.0,10000.0,1.0,1.0,14.914999961853027,0.0
feature.Seral.CWHvm_HW_CW_L.immature,7,70,10.0,0.0,10000.0,1.0,1.0,14.914999961853027,0.0
feature.Seral.CWHvm_HW_CW_L.immature,8,80,10.0,0.0,10000.0,1.0,1.0,14.914999961853027,0.0
feature.Seral.CWHvm_HW_CW_L.immature,9,90,10.0,0.0,10000.0,1.0,1.0,14.914999961853027,0.0
feature.Seral.CWHvm_HW_CW_L.immature,10,100,10.0,0.0,10000.0,1.0,1.0,18.87700080871582,0.0
feature.Seral.CWHvm_HW_CW_L.immature,11,110,10.0,0.0,10000.0,1.0,1.0,18.87700080871582,0.0
feature.Seral.CWHvm_HW_CW_L.immature,12,120,10.0,0.0,10000.0,1.0,1.0,15.175000190734863,0.0
feature.Seral.CWHvm_HW_CW_L.immature,13,130,10.0,0.0,10000.0,1.0,1.0,12.184000015258789,0.0
feature.Seral.CWHvm_HW_CW_L.immature,14,140,10.0,0.0,10000.0,1.0,1.0,12.184000015258789,0.0
feature.Seral.CWHvm_HW_CW_L.immature,15,150,10.0,0.0,10000.0,1.0,1.0,8.572999954223633,0.0
feature.Seral.CWHvm_HW_CW_L.immature,16,160,10.0,0.0,10000.0,1.0,1.0,7.664000034332275,0.0
feature.Seral.CWHvm_HW_CW_L.immature,17,170,10.0,0.0,10000.0,1.0,1.0,7.664000034332275,0.0
feature.Seral.CWHvm_HW_CW_L.immature,18,180,10.0,0.0,10000.0,1.0,1.0,12.987000465393066,0.0
feature.Seral.CWHvm_HW_CW_L.immature,19,190,10.0,0.0,10000.0,1.0,1.0,16.548999786376953,0.0
feature.Seral.CWHvm_HW_CW_L.immature,20,200,10.0,0.0,10000.0,1.0,1.0,14.914999961853027,0.0
feature.Seral.CWHvm_HW_CW_L.immature,21,210,10.0,0.0,10000.0,1.0,1.0,17.243000030517578,0.0
feature.Seral.CWHvm_HW_CW_L.immature,22,220,10.0,0.0,10000.0,1.0,1.0,17.243000030517578,0.0
feature.Seral.CWHvm_HW_CW_L.immature,23,230,10.0,0.0,10000.0,1.0,1.0,13.541000366210938,0.0
feature.Seral.CWHvm_HW_CW_L.immature,24,240,10.0,0.0,10000.0,1.0,1.0,13.541000366210938,0.0
feature.Seral.CWHvm_HW_CW_L.immature,25,250,10.0,0.0,10000.0,1.0,1.0,15.175000190734863,0.0
feature.Seral.CWHvm_HW_CW_L.immature,26,260,10.0,0.0,10000.0,1.0,1.0,12.28499984741211,0.0
feature.Seral.CWHvm_HW_CW_L.immature,27,270,10.0,0.0,10000.0,1.0,1.0,11.946999549865723,0.0
feature.Seral.CWHvm_HW_CW_L.immature,28,280,10.0,0.0,10000.0,1.0,1.0,7.664000034332275,0.0
feature.Seral.CWHvm_HW_CW_L.immature,29,290,10.0,0.0,10000.0,1.0,1.0,11.928000450134277,0.0
feature.Seral.CWHvm_HW_CW_L.immature,30,300,10.0,0.0,10000.0,1.0,1.0,12.265999794006348,0.0
