TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Area.og1.CWHvm_HW_SS_M,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Area.og1.CWHvm_HW_SS_M,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Area.og1.CWHvm_HW_SS_M,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Area.og1.CWHvm_HW_SS_M,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Area.og1.CWHvm_HW_SS_M,4,40,10.0,0.0,10000.0,1.0,1.0,2.1440000534057617,0.0
feature.Area.og1.CWHvm_HW_SS_M,5,50,10.0,0.0,10000.0,1.0,1.0,5.519999980926514,0.0
feature.Area.og1.CWHvm_HW_SS_M,6,60,10.0,0.0,10000.0,1.0,1.0,9.170999526977539,0.0
feature.Area.og1.CWHvm_HW_SS_M,7,70,10.0,0.0,10000.0,1.0,1.0,12.881999969482422,0.0
feature.Area.og1.CWHvm_HW_SS_M,8,80,10.0,0.0,10000.0,1.0,1.0,9.092000007629395,0.0
feature.Area.og1.CWHvm_HW_SS_M,9,90,10.0,0.0,10000.0,1.0,1.0,11.206999778747559,0.0
feature.Area.og1.CWHvm_HW_SS_M,10,100,10.0,0.0,10000.0,1.0,1.0,13.321999549865723,0.0
feature.Area.og1.CWHvm_HW_SS_M,11,110,10.0,0.0,10000.0,1.0,1.0,12.651000022888184,0.0
feature.Area.og1.CWHvm_HW_SS_M,12,120,10.0,0.0,10000.0,1.0,1.0,13.322999954223633,0.0
feature.Area.og1.CWHvm_HW_SS_M,13,130,10.0,0.0,10000.0,1.0,1.0,13.532999992370605,0.0
feature.Area.og1.CWHvm_HW_SS_M,14,140,10.0,0.0,10000.0,1.0,1.0,13.593000411987305,0.0
feature.Area.og1.CWHvm_HW_SS_M,15,150,10.0,0.0,10000.0,1.0,1.0,13.593000411987305,0.0
feature.Area.og1.CWHvm_HW_SS_M,16,160,10.0,0.0,10000.0,1.0,1.0,13.593000411987305,0.0
feature.Area.og1.CWHvm_HW_SS_M,17,170,10.0,0.0,10000.0,1.0,1.0,13.593000411987305,0.0
feature.Area.og1.CWHvm_HW_SS_M,18,180,10.0,0.0,10000.0,1.0,1.0,14.869999885559082,0.0
feature.Area.og1.CWHvm_HW_SS_M,19,190,10.0,0.0,10000.0,1.0,1.0,16.465999603271484,0.0
feature.Area.og1.CWHvm_HW_SS_M,20,200,10.0,0.0,10000.0,1.0,1.0,18.06100082397461,0.0
feature.Area.og1.CWHvm_HW_SS_M,21,210,10.0,0.0,10000.0,1.0,1.0,19.989999771118164,0.0
feature.Area.og1.CWHvm_HW_SS_M,22,220,10.0,0.0,10000.0,1.0,1.0,14.342000007629395,0.0
feature.Area.og1.CWHvm_HW_SS_M,23,230,10.0,0.0,10000.0,1.0,1.0,14.758000373840332,0.0
feature.Area.og1.CWHvm_HW_SS_M,24,240,10.0,0.0,10000.0,1.0,1.0,15.173999786376953,0.0
feature.Area.og1.CWHvm_HW_SS_M,25,250,10.0,0.0,10000.0,1.0,1.0,15.59000015258789,0.0
feature.Area.og1.CWHvm_HW_SS_M,26,260,10.0,0.0,10000.0,1.0,1.0,16.0049991607666,0.0
feature.Area.og1.CWHvm_HW_SS_M,27,270,10.0,0.0,10000.0,1.0,1.0,16.42099952697754,0.0
feature.Area.og1.CWHvm_HW_SS_M,28,280,10.0,0.0,10000.0,1.0,1.0,16.836999893188477,0.0
feature.Area.og1.CWHvm_HW_SS_M,29,290,10.0,0.0,10000.0,1.0,1.0,16.92099952697754,0.0
feature.Area.og1.CWHvm_HW_SS_M,30,300,10.0,0.0,10000.0,1.0,1.0,16.92099952697754,0.0
