TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,1,10,10.0,0.0,10000.0,1.0,1.0,57.02299880981445,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,3,30,10.0,0.0,10000.0,1.0,1.0,60.534000396728516,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,4,40,10.0,0.0,10000.0,1.0,1.0,7.474999904632568,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,7,70,10.0,0.0,10000.0,1.0,1.0,37.0359992980957,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,12,120,10.0,0.0,10000.0,1.0,1.0,44.862998962402344,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,15,150,10.0,0.0,10000.0,1.0,1.0,91.7229995727539,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,16,160,10.0,0.0,10000.0,1.0,1.0,40.952999114990234,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,18,180,10.0,0.0,10000.0,1.0,1.0,28.63599967956543,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,22,220,10.0,0.0,10000.0,1.0,1.0,18.785999298095703,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,23,230,10.0,0.0,10000.0,1.0,1.0,45.52899932861328,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,26,260,10.0,0.0,10000.0,1.0,1.0,81.79399871826172,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,27,270,10.0,0.0,10000.0,1.0,1.0,4.0920000076293945,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,29,290,10.0,0.0,10000.0,1.0,1.0,79.5989990234375,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_L.HW.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
