TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,5,50,10.0,0.0,10000.0,1.0,1.0,10.748000144958496,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,10,100,10.0,0.0,10000.0,1.0,1.0,12.928000450134277,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,11,110,10.0,0.0,10000.0,1.0,1.0,5.285999774932861,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,13,130,10.0,0.0,10000.0,1.0,1.0,17.763999938964844,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,14,140,10.0,0.0,10000.0,1.0,1.0,26.538000106811523,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,16,160,10.0,0.0,10000.0,1.0,1.0,10.748000144958496,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,18,180,10.0,0.0,10000.0,1.0,1.0,10.869999885559082,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,21,210,10.0,0.0,10000.0,1.0,1.0,18.214000701904297,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,24,240,10.0,0.0,10000.0,1.0,1.0,10.22700023651123,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,26,260,10.0,0.0,10000.0,1.0,1.0,10.748000144958496,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,27,270,10.0,0.0,10000.0,1.0,1.0,32.07899856567383,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,28,280,10.0,0.0,10000.0,1.0,1.0,23.093000411987305,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_FDC_HW_L.HW.CT,30,300,10.0,0.0,10000.0,1.0,1.0,0.7039999961853027,0.0
