TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Treated.managed.CWHvm_FDC_HW_H.CT,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,5,50,10.0,0.0,10000.0,1.0,1.0,5.485000133514404,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,8,80,10.0,0.0,10000.0,1.0,1.0,19.583999633789062,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,14,140,10.0,0.0,10000.0,1.0,1.0,16.263999938964844,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,15,150,10.0,0.0,10000.0,1.0,1.0,19.583999633789062,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,18,180,10.0,0.0,10000.0,1.0,1.0,6.875,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,19,190,10.0,0.0,10000.0,1.0,1.0,1.2630000114440918,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,23,230,10.0,0.0,10000.0,1.0,1.0,11.180000305175781,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,25,250,10.0,0.0,10000.0,1.0,1.0,6.875,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,29,290,10.0,0.0,10000.0,1.0,1.0,3.372999906539917,0.0
product.Treated.managed.CWHvm_FDC_HW_H.CT,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
