TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_CW_H.young,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.young,1,10,10.0,0.0,10000.0,1.0,1.0,11.079000473022461,0.0
feature.Seral.CWHvm_HW_CW_H.young,2,20,10.0,0.0,10000.0,1.0,1.0,15.918000221252441,0.0
feature.Seral.CWHvm_HW_CW_H.young,3,30,10.0,0.0,10000.0,1.0,1.0,19.885000228881836,0.0
feature.Seral.CWHvm_HW_CW_H.young,4,40,10.0,0.0,10000.0,1.0,1.0,15.045999526977539,0.0
feature.Seral.CWHvm_HW_CW_H.young,5,50,10.0,0.0,10000.0,1.0,1.0,10.621999740600586,0.0
feature.Seral.CWHvm_HW_CW_H.young,6,60,10.0,0.0,10000.0,1.0,1.0,10.621999740600586,0.0
feature.Seral.CWHvm_HW_CW_H.young,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.young,8,80,10.0,0.0,10000.0,1.0,1.0,4.23199987411499,0.0
feature.Seral.CWHvm_HW_CW_H.young,9,90,10.0,0.0,10000.0,1.0,1.0,4.23199987411499,0.0
feature.Seral.CWHvm_HW_CW_H.young,10,100,10.0,0.0,10000.0,1.0,1.0,9.197999954223633,0.0
feature.Seral.CWHvm_HW_CW_H.young,11,110,10.0,0.0,10000.0,1.0,1.0,9.197999954223633,0.0
feature.Seral.CWHvm_HW_CW_H.young,12,120,10.0,0.0,10000.0,1.0,1.0,19.746999740600586,0.0
feature.Seral.CWHvm_HW_CW_H.young,13,130,10.0,0.0,10000.0,1.0,1.0,30.902000427246094,0.0
feature.Seral.CWHvm_HW_CW_H.young,14,140,10.0,0.0,10000.0,1.0,1.0,11.50100040435791,0.0
feature.Seral.CWHvm_HW_CW_H.young,15,150,10.0,0.0,10000.0,1.0,1.0,2.0190000534057617,0.0
feature.Seral.CWHvm_HW_CW_H.young,16,160,10.0,0.0,10000.0,1.0,1.0,1.6729999780654907,0.0
feature.Seral.CWHvm_HW_CW_H.young,17,170,10.0,0.0,10000.0,1.0,1.0,10.621999740600586,0.0
feature.Seral.CWHvm_HW_CW_H.young,18,180,10.0,0.0,10000.0,1.0,1.0,10.621999740600586,0.0
feature.Seral.CWHvm_HW_CW_H.young,19,190,10.0,0.0,10000.0,1.0,1.0,0.7509999871253967,0.0
feature.Seral.CWHvm_HW_CW_H.young,20,200,10.0,0.0,10000.0,1.0,1.0,0.7509999871253967,0.0
feature.Seral.CWHvm_HW_CW_H.young,21,210,10.0,0.0,10000.0,1.0,1.0,7.454999923706055,0.0
feature.Seral.CWHvm_HW_CW_H.young,22,220,10.0,0.0,10000.0,1.0,1.0,12.293999671936035,0.0
feature.Seral.CWHvm_HW_CW_H.young,23,230,10.0,0.0,10000.0,1.0,1.0,25.316999435424805,0.0
feature.Seral.CWHvm_HW_CW_H.young,24,240,10.0,0.0,10000.0,1.0,1.0,20.47800064086914,0.0
feature.Seral.CWHvm_HW_CW_H.young,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.young,26,260,10.0,0.0,10000.0,1.0,1.0,11.154999732971191,0.0
feature.Seral.CWHvm_HW_CW_H.young,27,270,10.0,0.0,10000.0,1.0,1.0,23.450000762939453,0.0
feature.Seral.CWHvm_HW_CW_H.young,28,280,10.0,0.0,10000.0,1.0,1.0,12.295000076293945,0.0
feature.Seral.CWHvm_HW_CW_H.young,29,290,10.0,0.0,10000.0,1.0,1.0,3.4809999465942383,0.0
feature.Seral.CWHvm_HW_CW_H.young,30,300,10.0,0.0,10000.0,1.0,1.0,4.23199987411499,0.0
