TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,1,10,10.0,0.0,10000.0,1.0,1.0,2.565999984741211,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,2,20,10.0,0.0,10000.0,1.0,1.0,1.5579999685287476,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.3449999988079071,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.15000000596046448,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,6,60,10.0,0.0,10000.0,1.0,1.0,0.45899999141693115,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.05299999937415123,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.9290000200271606,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,10,100,10.0,0.0,10000.0,1.0,1.0,1.2940000295639038,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.5609999895095825,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,13,130,10.0,0.0,10000.0,1.0,1.0,1.0099999904632568,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.7929999828338623,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.1080000028014183,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.3529999852180481,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.04100000113248825,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,20,200,10.0,0.0,10000.0,1.0,1.0,2.874000072479248,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,24,240,10.0,0.0,10000.0,1.0,1.0,1.5369999408721924,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,25,250,10.0,0.0,10000.0,1.0,1.0,1.1720000505447388,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.8349999785423279,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.08799999952316284,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,29,290,10.0,0.0,10000.0,1.0,1.0,1.2940000295639038,0.0
product.Logs_Grade_X.managed.CWHvm_HW_CW_M.BA.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
