TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.QMD.managed.CWHvm_DR_HW_M.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,5,50,10.0,0.0,10000.0,1.0,1.0,26.55500030517578,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,6,60,10.0,0.0,10000.0,1.0,1.0,26.55699920654297,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,7,70,10.0,0.0,10000.0,1.0,1.0,27.562000274658203,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,8,80,10.0,0.0,10000.0,1.0,1.0,27.235000610351562,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,9,90,10.0,0.0,10000.0,1.0,1.0,27.979999542236328,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,13,130,10.0,0.0,10000.0,1.0,1.0,27.378000259399414,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,16,160,10.0,0.0,10000.0,1.0,1.0,26.55500030517578,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,18,180,10.0,0.0,10000.0,1.0,1.0,26.709999084472656,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,19,190,10.0,0.0,10000.0,1.0,1.0,27.304000854492188,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,20,200,10.0,0.0,10000.0,1.0,1.0,27.427000045776367,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,24,240,10.0,0.0,10000.0,1.0,1.0,28.15999984741211,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,26,260,10.0,0.0,10000.0,1.0,1.0,26.155000686645508,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,27,270,10.0,0.0,10000.0,1.0,1.0,28.597999572753906,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,28,280,10.0,0.0,10000.0,1.0,1.0,26.636999130249023,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,29,290,10.0,0.0,10000.0,1.0,1.0,26.77400016784668,0.0
product.QMD.managed.CWHvm_DR_HW_M.CC,30,300,10.0,0.0,10000.0,1.0,1.0,26.6200008392334,0.0
