TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,1,10,10.0,0.0,10000.0,1.0,1.0,3.8410000801086426,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,6,60,10.0,0.0,10000.0,1.0,1.0,1.6799999475479126,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,7,70,10.0,0.0,10000.0,1.0,1.0,4.044000148773193,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,13,130,10.0,0.0,10000.0,1.0,1.0,1.1749999523162842,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,14,140,10.0,0.0,10000.0,1.0,1.0,1.2410000562667847,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,15,150,10.0,0.0,10000.0,1.0,1.0,12.855999946594238,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.27799999713897705,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,17,170,10.0,0.0,10000.0,1.0,1.0,2.2269999980926514,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,18,180,10.0,0.0,10000.0,1.0,1.0,2.678999900817871,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.4699999988079071,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,23,230,10.0,0.0,10000.0,1.0,1.0,1.6150000095367432,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.9769999980926514,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,26,260,10.0,0.0,10000.0,1.0,1.0,17.843000411987305,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,27,270,10.0,0.0,10000.0,1.0,1.0,1.125,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_L.SS.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
