TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,1,10,10.0,0.0,10000.0,1.0,1.0,2.0299999713897705,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,6,60,10.0,0.0,10000.0,1.0,1.0,3.0350000858306885,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,7,70,10.0,0.0,10000.0,1.0,1.0,2.6530001163482666,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.3269999921321869,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,10,100,10.0,0.0,10000.0,1.0,1.0,0.6290000081062317,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.3330000042915344,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.26499998569488525,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,21,210,10.0,0.0,10000.0,1.0,1.0,0.49000000953674316,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,22,220,10.0,0.0,10000.0,1.0,1.0,6.90500020980835,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,23,230,10.0,0.0,10000.0,1.0,1.0,2.072000026702881,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.3700000047683716,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.23899999260902405,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.CWHvm_HW_CW_L.YC.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
