TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.CWHvm_DR_HW_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.CWHvm_DR_HW_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.Height.unmanaged.CWHvm_DR_HW_M,,3
1,feature.QMD.unmanaged.CWHvm_DR_HW_M,,4
1,feature.Seral.CWHvm_DR_HW_M.immature,,5
1,feature.Seral.CWHvm_DR_HW_M.mature,,6
1,feature.Seral.CWHvm_DR_HW_M.overmature,,7
1,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
1,feature.Seral.CWHvm_DR_HW_M.young,,9
1,feature.Seral.immature,,5
1,feature.Seral.mature,,6
1,feature.Seral.overmature,,7
1,feature.Seral.regenerating,,8
1,feature.Seral.young,,9
1,feature.SpeciesProp.unmanaged.CW,,10
1,feature.SpeciesProp.unmanaged.FDC,,11
1,feature.SpeciesProp.unmanaged.HW,,12
1,feature.StemsPerHa.unmanaged.CWHvm_DR_HW_M,,13
1,feature.Yield.unmanaged.CW,,14
1,feature.Yield.unmanaged.FDC,,15
1,feature.Yield.unmanaged.HW,,16
1,feature.Yield.unmanaged.Total,,17
2,feature.Area.managed,,18
2,feature.Area.og1.CWHvm_DR_HW_M,,19
2,feature.Area.og1.total,,19
2,feature.Area.og2.CWHvm_DR_HW_M,,20
2,feature.Area.og2.total,,20
2,feature.Height.managed.CWHvm_DR_HW_M,,21
2,feature.QMD.managed.CWHvm_DR_HW_M,,22
2,feature.Seral.CWHvm_DR_HW_M.immature,,23
2,feature.Seral.CWHvm_DR_HW_M.mature,,24
2,feature.Seral.CWHvm_DR_HW_M.overmature,,25
2,feature.Seral.CWHvm_DR_HW_M.regenerating,,26
2,feature.Seral.CWHvm_DR_HW_M.young,,27
2,feature.Seral.immature,,23
2,feature.Seral.mature,,24
2,feature.Seral.overmature,,25
2,feature.Seral.regenerating,,26
2,feature.Seral.young,,27
2,feature.SpeciesProp.managed.CW,,28
2,feature.SpeciesProp.managed.FDC,,11
2,feature.SpeciesProp.managed.HW,,29
2,feature.StemsPerHa.managed.CWHvm_DR_HW_M,,30
2,feature.Yield.managed.CW,,31
2,feature.Yield.managed.FDC,,32
2,feature.Yield.managed.HW,,33
2,feature.Yield.managed.Total,,34
3,feature.Area.managed,,2
3,feature.Area.og1.CWHvm_FDC_HW_H,,48
3,feature.Area.og1.total,,48
3,feature.Area.og2.CWHvm_FDC_HW_H,,1
3,feature.Area.og2.total,,1
3,feature.Height.managed.CWHvm_FDC_HW_H,,49
3,feature.QMD.managed.CWHvm_FDC_HW_H,,50
3,feature.Seral.CWHvm_FDC_HW_H.immature,,51
3,feature.Seral.CWHvm_FDC_HW_H.mature,,52
3,feature.Seral.CWHvm_FDC_HW_H.overmature,,53
3,feature.Seral.CWHvm_FDC_HW_H.regenerating,,8
3,feature.Seral.CWHvm_FDC_HW_H.young,,9
3,feature.Seral.immature,,51
3,feature.Seral.mature,,52
3,feature.Seral.overmature,,53
3,feature.Seral.regenerating,,8
3,feature.Seral.young,,9
3,feature.SpeciesProp.managed.CW,,54
3,feature.SpeciesProp.managed.FDC,,55
3,feature.SpeciesProp.managed.HW,,56
3,feature.StemsPerHa.managed.CWHvm_FDC_HW_H,,57
3,feature.Yield.managed.CW,,58
3,feature.Yield.managed.FDC,,59
3,feature.Yield.managed.HW,,60
3,feature.Yield.managed.Total,,61
4,feature.Area.og1.CWHvm_HW_CW_M,,75
4,feature.Area.og1.total,,75
4,feature.Area.og2.CWHvm_HW_CW_M,,1
4,feature.Area.og2.total,,1
4,feature.Area.unmanaged,,2
4,feature.Height.unmanaged.CWHvm_HW_CW_M,,76
4,feature.QMD.unmanaged.CWHvm_HW_CW_M,,77
4,feature.Seral.CWHvm_HW_CW_M.immature,,78
4,feature.Seral.CWHvm_HW_CW_M.mature,,79
4,feature.Seral.CWHvm_HW_CW_M.overmature,,7
4,feature.Seral.CWHvm_HW_CW_M.regenerating,,8
4,feature.Seral.CWHvm_HW_CW_M.young,,9
4,feature.Seral.immature,,78
4,feature.Seral.mature,,79
4,feature.Seral.overmature,,7
4,feature.Seral.regenerating,,8
4,feature.Seral.young,,9
4,feature.SpeciesProp.unmanaged.CW,,29
4,feature.SpeciesProp.unmanaged.FDC,,28
4,feature.SpeciesProp.unmanaged.HW,,11
4,feature.StemsPerHa.unmanaged.CWHvm_HW_CW_M,,13
4,feature.Yield.unmanaged.CW,,80
4,feature.Yield.unmanaged.FDC,,81
4,feature.Yield.unmanaged.HW,,82
4,feature.Yield.unmanaged.Total,,83
5,feature.Area.managed,,18
5,feature.Area.og1.CWHvm_HW_CW_M,,84
5,feature.Area.og1.total,,84
5,feature.Area.og2.CWHvm_HW_CW_M,,20
5,feature.Area.og2.total,,20
5,feature.Height.managed.CWHvm_HW_CW_M,,85
5,feature.QMD.managed.CWHvm_HW_CW_M,,86
5,feature.Seral.CWHvm_HW_CW_M.immature,,87
5,feature.Seral.CWHvm_HW_CW_M.mature,,88
5,feature.Seral.CWHvm_HW_CW_M.overmature,,25
5,feature.Seral.CWHvm_HW_CW_M.regenerating,,26
5,feature.Seral.CWHvm_HW_CW_M.young,,27
5,feature.Seral.immature,,87
5,feature.Seral.mature,,88
5,feature.Seral.overmature,,25
5,feature.Seral.regenerating,,26
5,feature.Seral.young,,27
5,feature.SpeciesProp.managed.CW,,29
5,feature.SpeciesProp.managed.FDC,,28
5,feature.SpeciesProp.managed.HW,,89
5,feature.StemsPerHa.managed.CWHvm_HW_CW_M,,57
5,feature.Yield.managed.CW,,90
5,feature.Yield.managed.FDC,,91
5,feature.Yield.managed.HW,,92
5,feature.Yield.managed.Total,,93
6,feature.Area.managed,,2
6,feature.Area.og1.CWHvm_HW_FDC_H,,107
6,feature.Area.og1.total,,107
6,feature.Area.og2.CWHvm_HW_FDC_H,,1
6,feature.Area.og2.total,,1
6,feature.Height.managed.CWHvm_HW_FDC_H,,108
6,feature.QMD.managed.CWHvm_HW_FDC_H,,109
6,feature.Seral.CWHvm_HW_FDC_H.immature,,5
6,feature.Seral.CWHvm_HW_FDC_H.mature,,6
6,feature.Seral.CWHvm_HW_FDC_H.overmature,,7
6,feature.Seral.CWHvm_HW_FDC_H.regenerating,,8
6,feature.Seral.CWHvm_HW_FDC_H.young,,9
6,feature.Seral.immature,,5
6,feature.Seral.mature,,6
6,feature.Seral.overmature,,7
6,feature.Seral.regenerating,,8
6,feature.Seral.young,,9
6,feature.SpeciesProp.managed.CW,,12
6,feature.SpeciesProp.managed.FDC,,10
6,feature.SpeciesProp.managed.HW,,11
6,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,,57
6,feature.Yield.managed.CW,,110
6,feature.Yield.managed.FDC,,111
6,feature.Yield.managed.HW,,112
6,feature.Yield.managed.Total,,113
7,feature.Area.og1.CWHvm_DR_HW_M,,19
7,feature.Area.og1.total,,19
7,feature.Area.og2.CWHvm_DR_HW_M,,20
7,feature.Area.og2.total,,20
7,feature.Area.unmanaged,,18
7,feature.Height.unmanaged.CWHvm_DR_HW_M,,125
7,feature.QMD.unmanaged.CWHvm_DR_HW_M,,126
7,feature.Seral.CWHvm_DR_HW_M.immature,,23
7,feature.Seral.CWHvm_DR_HW_M.mature,,24
7,feature.Seral.CWHvm_DR_HW_M.overmature,,25
7,feature.Seral.CWHvm_DR_HW_M.regenerating,,26
7,feature.Seral.CWHvm_DR_HW_M.young,,27
7,feature.Seral.immature,,23
7,feature.Seral.mature,,24
7,feature.Seral.overmature,,25
7,feature.Seral.regenerating,,26
7,feature.Seral.young,,27
7,feature.SpeciesProp.unmanaged.CW,,28
7,feature.SpeciesProp.unmanaged.FDC,,11
7,feature.SpeciesProp.unmanaged.HW,,29
7,feature.StemsPerHa.unmanaged.CWHvm_DR_HW_M,,13
7,feature.Yield.unmanaged.CW,,127
7,feature.Yield.unmanaged.FDC,,128
7,feature.Yield.unmanaged.HW,,129
7,feature.Yield.unmanaged.Total,,130
8,feature.Area.managed,,2
8,feature.Area.og1.CWHvm_DR_HW_M,,0
8,feature.Area.og1.total,,0
8,feature.Area.og2.CWHvm_DR_HW_M,,1
8,feature.Area.og2.total,,1
8,feature.Height.managed.CWHvm_DR_HW_M,,131
8,feature.QMD.managed.CWHvm_DR_HW_M,,132
8,feature.Seral.CWHvm_DR_HW_M.immature,,5
8,feature.Seral.CWHvm_DR_HW_M.mature,,6
8,feature.Seral.CWHvm_DR_HW_M.overmature,,7
8,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
8,feature.Seral.CWHvm_DR_HW_M.young,,9
8,feature.Seral.immature,,5
