TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.CWHvm_DR_HW_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.CWHvm_DR_HW_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.Height.unmanaged.CWHvm_DR_HW_M,,3
1,feature.QMD.unmanaged.CWHvm_DR_HW_M,,4
1,feature.Seral.CWHvm_DR_HW_M.immature,,5
1,feature.Seral.CWHvm_DR_HW_M.mature,,6
1,feature.Seral.CWHvm_DR_HW_M.overmature,,7
1,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
1,feature.Seral.CWHvm_DR_HW_M.young,,9
1,feature.Seral.immature,,5
1,feature.Seral.mature,,6
1,feature.Seral.overmature,,7
1,feature.Seral.regenerating,,8
1,feature.Seral.young,,9
1,feature.SpeciesProp.unmanaged.CW,,10
1,feature.SpeciesProp.unmanaged.DR,,11
1,feature.SpeciesProp.unmanaged.FDC,,12
1,feature.SpeciesProp.unmanaged.HW,,13
1,feature.SpeciesProp.unmanaged.SS,,14
1,feature.Yield.unmanaged.CW,,15
1,feature.Yield.unmanaged.DR,,16
1,feature.Yield.unmanaged.FDC,,17
1,feature.Yield.unmanaged.HW,,18
1,feature.Yield.unmanaged.SS,,19
1,feature.Yield.unmanaged.Total,,20
2,feature.Area.managed,,2
2,feature.Area.og1.CWHvm_DR_HW_M,,0
2,feature.Area.og1.total,,0
2,feature.Area.og2.CWHvm_DR_HW_M,,1
2,feature.Area.og2.total,,1
2,feature.Height.managed.CWHvm_DR_HW_M,,21
2,feature.QMD.managed.CWHvm_DR_HW_M,,4
2,feature.Seral.CWHvm_DR_HW_M.immature,,5
2,feature.Seral.CWHvm_DR_HW_M.mature,,6
2,feature.Seral.CWHvm_DR_HW_M.overmature,,7
2,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
2,feature.Seral.CWHvm_DR_HW_M.young,,9
2,feature.Seral.immature,,5
2,feature.Seral.mature,,6
2,feature.Seral.overmature,,7
2,feature.Seral.regenerating,,8
2,feature.Seral.young,,9
2,feature.SpeciesProp.managed.CW,,22
2,feature.SpeciesProp.managed.DR,,11
2,feature.SpeciesProp.managed.FDC,,23
2,feature.SpeciesProp.managed.HW,,24
2,feature.SpeciesProp.managed.SS,,25
2,feature.Yield.managed.CW,,26
2,feature.Yield.managed.DR,,27
2,feature.Yield.managed.FDC,,28
2,feature.Yield.managed.HW,,29
2,feature.Yield.managed.SS,,30
2,feature.Yield.managed.Total,,31
3,feature.Area.og1.CWHvm_FDC_HW_H,,48
3,feature.Area.og1.total,,48
3,feature.Area.og2.CWHvm_FDC_HW_H,,1
3,feature.Area.og2.total,,1
3,feature.Area.unmanaged,,2
3,feature.Height.unmanaged.CWHvm_FDC_HW_H,,49
3,feature.QMD.unmanaged.CWHvm_FDC_HW_H,,4
3,feature.Seral.CWHvm_FDC_HW_H.immature,,50
3,feature.Seral.CWHvm_FDC_HW_H.mature,,51
3,feature.Seral.CWHvm_FDC_HW_H.overmature,,52
3,feature.Seral.CWHvm_FDC_HW_H.regenerating,,8
3,feature.Seral.CWHvm_FDC_HW_H.young,,9
3,feature.Seral.immature,,50
3,feature.Seral.mature,,51
3,feature.Seral.overmature,,52
3,feature.Seral.regenerating,,8
3,feature.Seral.young,,9
3,feature.SpeciesProp.unmanaged.BA,,53
3,feature.SpeciesProp.unmanaged.CW,,54
3,feature.SpeciesProp.unmanaged.DR,,55
3,feature.SpeciesProp.unmanaged.FDC,,56
3,feature.SpeciesProp.unmanaged.HW,,57
3,feature.SpeciesProp.unmanaged.PL,,58
3,feature.SpeciesProp.unmanaged.SS,,58
3,feature.Yield.unmanaged.BA,,59
3,feature.Yield.unmanaged.CW,,60
3,feature.Yield.unmanaged.DR,,61
3,feature.Yield.unmanaged.FDC,,62
3,feature.Yield.unmanaged.HW,,63
3,feature.Yield.unmanaged.PL,,64
3,feature.Yield.unmanaged.SS,,64
3,feature.Yield.unmanaged.Total,,65
4,feature.Area.managed,,2
4,feature.Area.og1.CWHvm_FDC_HW_H,,48
4,feature.Area.og1.total,,48
4,feature.Area.og2.CWHvm_FDC_HW_H,,1
4,feature.Area.og2.total,,1
4,feature.Height.managed.CWHvm_FDC_HW_H,,66
4,feature.QMD.managed.CWHvm_FDC_HW_H,,4
4,feature.Seral.CWHvm_FDC_HW_H.immature,,50
4,feature.Seral.CWHvm_FDC_HW_H.mature,,51
4,feature.Seral.CWHvm_FDC_HW_H.overmature,,52
4,feature.Seral.CWHvm_FDC_HW_H.regenerating,,8
4,feature.Seral.CWHvm_FDC_HW_H.young,,9
4,feature.Seral.immature,,50
4,feature.Seral.mature,,51
4,feature.Seral.overmature,,52
4,feature.Seral.regenerating,,8
4,feature.Seral.young,,9
4,feature.SpeciesProp.managed.BA,,53
4,feature.SpeciesProp.managed.CW,,54
4,feature.SpeciesProp.managed.DR,,55
4,feature.SpeciesProp.managed.FDC,,56
4,feature.SpeciesProp.managed.HW,,57
4,feature.SpeciesProp.managed.PL,,67
4,feature.SpeciesProp.managed.SS,,67
4,feature.Yield.managed.BA,,68
4,feature.Yield.managed.CW,,69
4,feature.Yield.managed.DR,,70
4,feature.Yield.managed.FDC,,71
4,feature.Yield.managed.HW,,72
4,feature.Yield.managed.PL,,73
4,feature.Yield.managed.SS,,73
4,feature.Yield.managed.Total,,74
5,feature.Area.managed,,2
5,feature.Area.og1.CWHvm_FDC_HW_H,,48
5,feature.Area.og1.total,,48
5,feature.Area.og2.CWHvm_FDC_HW_H,,1
5,feature.Area.og2.total,,1
5,feature.Height.managed.CWHvm_FDC_HW_H,,66
5,feature.QMD.managed.CWHvm_FDC_HW_H,,4
5,feature.SpeciesProp.managed.BA,,53
5,feature.SpeciesProp.managed.CW,,54
5,feature.SpeciesProp.managed.DR,,55
5,feature.SpeciesProp.managed.FDC,,56
5,feature.SpeciesProp.managed.HW,,57
5,feature.SpeciesProp.managed.PL,,67
5,feature.SpeciesProp.managed.PLC,,4
5,feature.SpeciesProp.managed.PW,,4
5,feature.SpeciesProp.managed.SS,,67
5,feature.SpeciesProp.managed.YC,,4
5,feature.Yield.managed.BA,,107
5,feature.Yield.managed.CW,,108
5,feature.Yield.managed.DR,,109
5,feature.Yield.managed.FDC,,110
5,feature.Yield.managed.HW,,111
5,feature.Yield.managed.PL,,112
5,feature.Yield.managed.SS,,112
5,feature.Yield.managed.Total,,113
6,feature.Area.managed,,2
6,feature.Area.og1.CWHvm_FDC_HW_H,,48
6,feature.Area.og1.total,,48
6,feature.Area.og2.CWHvm_FDC_HW_H,,1
6,feature.Area.og2.total,,1
6,feature.Height.managed.CWHvm_FDC_HW_H,,66
6,feature.QMD.managed.CWHvm_FDC_HW_H,,4
6,feature.SpeciesProp.managed.BA,,53
6,feature.SpeciesProp.managed.CW,,54
6,feature.SpeciesProp.managed.DR,,55
6,feature.SpeciesProp.managed.FDC,,56
6,feature.SpeciesProp.managed.HW,,57
6,feature.SpeciesProp.managed.PL,,67
6,feature.SpeciesProp.managed.PLC,,4
6,feature.SpeciesProp.managed.PW,,4
6,feature.SpeciesProp.managed.SS,,67
6,feature.SpeciesProp.managed.YC,,4
6,feature.Yield.managed.BA,,107
6,feature.Yield.managed.CW,,121
6,feature.Yield.managed.DR,,122
6,feature.Yield.managed.FDC,,123
6,feature.Yield.managed.HW,,124
6,feature.Yield.managed.PL,,112
6,feature.Yield.managed.SS,,112
6,feature.Yield.managed.Total,,125
7,feature.Area.managed,,2
7,feature.Area.og1.CWHvm_FDC_HW_H,,48
7,feature.Area.og1.total,,48
7,feature.Area.og2.CWHvm_FDC_HW_H,,1
7,feature.Area.og2.total,,1
7,feature.Height.managed.CWHvm_FDC_HW_H,,66
7,feature.QMD.managed.CWHvm_FDC_HW_H,,4
7,feature.SpeciesProp.managed.BA,,53
7,feature.SpeciesProp.managed.CW,,54
7,feature.SpeciesProp.managed.DR,,55
7,feature.SpeciesProp.managed.FDC,,56
7,feature.SpeciesProp.managed.HW,,57
7,feature.SpeciesProp.managed.PL,,67
7,feature.SpeciesProp.managed.PLC,,4
7,feature.SpeciesProp.managed.PW,,4
7,feature.SpeciesProp.managed.SS,,67
7,feature.SpeciesProp.managed.YC,,4
7,feature.Yield.managed.BA,,107
7,feature.Yield.managed.CW,,132
7,feature.Yield.managed.DR,,133
7,feature.Yield.managed.FDC,,134
7,feature.Yield.managed.HW,,135
7,feature.Yield.managed.PL,,112
7,feature.Yield.managed.SS,,112
7,feature.Yield.managed.Total,,136
8,feature.Area.managed,,2
8,feature.Area.og1.CWHvm_FDC_HW_H,,48
