TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.CWHvm_DR_HW_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.CWHvm_DR_HW_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.QMD.unmanaged.CWHvm_DR_HW_M,,3
1,feature.Seral.CWHvm_DR_HW_M.immature,,4
1,feature.Seral.CWHvm_DR_HW_M.mature,,5
1,feature.Seral.CWHvm_DR_HW_M.overmature,,6
1,feature.Seral.CWHvm_DR_HW_M.regenerating,,7
1,feature.Seral.CWHvm_DR_HW_M.young,,8
1,feature.Seral.immature,,4
1,feature.Seral.mature,,5
1,feature.Seral.overmature,,6
1,feature.Seral.regenerating,,7
1,feature.Seral.young,,8
1,feature.SpeciesProp.unmanaged.CW,,9
1,feature.SpeciesProp.unmanaged.FDC,,10
1,feature.SpeciesProp.unmanaged.HW,,11
1,feature.Yield.unmanaged.CW,,12
1,feature.Yield.unmanaged.FDC,,13
1,feature.Yield.unmanaged.HW,,14
1,feature.Yield.unmanaged.Total,,15
2,feature.Area.managed,,2
2,feature.Area.og1.CWHvm_DR_HW_M,,0
2,feature.Area.og1.total,,0
2,feature.Area.og2.CWHvm_DR_HW_M,,1
2,feature.Area.og2.total,,1
2,feature.QMD.managed.CWHvm_DR_HW_M,,16
2,feature.Seral.CWHvm_DR_HW_M.immature,,4
2,feature.Seral.CWHvm_DR_HW_M.mature,,5
2,feature.Seral.CWHvm_DR_HW_M.overmature,,6
2,feature.Seral.CWHvm_DR_HW_M.regenerating,,7
2,feature.Seral.CWHvm_DR_HW_M.young,,8
2,feature.Seral.immature,,4
2,feature.Seral.mature,,5
2,feature.Seral.overmature,,6
2,feature.Seral.regenerating,,7
2,feature.Seral.young,,8
2,feature.SpeciesProp.managed.CW,,17
2,feature.SpeciesProp.managed.FDC,,10
2,feature.SpeciesProp.managed.HW,,18
2,feature.Yield.managed.CW,,19
2,feature.Yield.managed.FDC,,20
2,feature.Yield.managed.HW,,21
2,feature.Yield.managed.Total,,22
3,feature.Area.og1.CWHvm_FDC_HW_H,,35
3,feature.Area.og1.total,,35
3,feature.Area.og2.CWHvm_FDC_HW_H,,1
3,feature.Area.og2.total,,1
3,feature.Area.unmanaged,,2
3,feature.QMD.unmanaged.CWHvm_FDC_HW_H,,36
3,feature.Seral.CWHvm_FDC_HW_H.immature,,37
3,feature.Seral.CWHvm_FDC_HW_H.mature,,38
3,feature.Seral.CWHvm_FDC_HW_H.overmature,,39
3,feature.Seral.CWHvm_FDC_HW_H.regenerating,,7
3,feature.Seral.CWHvm_FDC_HW_H.young,,8
3,feature.Seral.immature,,37
3,feature.Seral.mature,,38
3,feature.Seral.overmature,,39
3,feature.Seral.regenerating,,7
3,feature.Seral.young,,8
3,feature.SpeciesProp.unmanaged.CW,,40
3,feature.SpeciesProp.unmanaged.FDC,,41
3,feature.SpeciesProp.unmanaged.HW,,42
3,feature.Yield.unmanaged.CW,,43
3,feature.Yield.unmanaged.FDC,,44
3,feature.Yield.unmanaged.HW,,45
3,feature.Yield.unmanaged.Total,,46
4,feature.Area.managed,,2
4,feature.Area.og1.CWHvm_FDC_HW_H,,35
4,feature.Area.og1.total,,35
4,feature.Area.og2.CWHvm_FDC_HW_H,,1
4,feature.Area.og2.total,,1
4,feature.QMD.managed.CWHvm_FDC_HW_H,,47
4,feature.Seral.CWHvm_FDC_HW_H.immature,,37
4,feature.Seral.CWHvm_FDC_HW_H.mature,,38
4,feature.Seral.CWHvm_FDC_HW_H.overmature,,39
4,feature.Seral.CWHvm_FDC_HW_H.regenerating,,7
4,feature.Seral.CWHvm_FDC_HW_H.young,,8
4,feature.Seral.immature,,37
4,feature.Seral.mature,,38
4,feature.Seral.overmature,,39
4,feature.Seral.regenerating,,7
4,feature.Seral.young,,8
4,feature.SpeciesProp.managed.CW,,40
4,feature.SpeciesProp.managed.FDC,,41
4,feature.SpeciesProp.managed.HW,,42
4,feature.Yield.managed.CW,,48
4,feature.Yield.managed.FDC,,49
4,feature.Yield.managed.HW,,50
4,feature.Yield.managed.Total,,51
5,feature.Area.managed,,2
5,feature.Area.og1.CWHvm_FDC_HW_H,,35
5,feature.Area.og1.total,,35
5,feature.Area.og2.CWHvm_FDC_HW_H,,1
5,feature.Area.og2.total,,1
5,feature.QMD.managed.CWHvm_FDC_HW_H,,73
5,feature.SpeciesProp.managed.BA,,74
5,feature.SpeciesProp.managed.CW,,40
5,feature.SpeciesProp.managed.DR,,74
5,feature.SpeciesProp.managed.FDC,,41
5,feature.SpeciesProp.managed.HW,,42
5,feature.SpeciesProp.managed.PL,,74
5,feature.SpeciesProp.managed.PLC,,74
5,feature.SpeciesProp.managed.SS,,74
5,feature.SpeciesProp.managed.YC,,74
5,feature.Yield.managed.CW,,75
5,feature.Yield.managed.FDC,,76
5,feature.Yield.managed.HW,,77
5,feature.Yield.managed.Total,,78
6,feature.Area.managed,,2
6,feature.Area.og1.CWHvm_FDC_HW_H,,35
6,feature.Area.og1.total,,35
6,feature.Area.og2.CWHvm_FDC_HW_H,,1
6,feature.Area.og2.total,,1
6,feature.QMD.managed.CWHvm_FDC_HW_H,,84
6,feature.SpeciesProp.managed.BA,,74
6,feature.SpeciesProp.managed.CW,,40
6,feature.SpeciesProp.managed.DR,,74
6,feature.SpeciesProp.managed.FDC,,41
6,feature.SpeciesProp.managed.HW,,42
6,feature.SpeciesProp.managed.PL,,74
6,feature.SpeciesProp.managed.PLC,,74
6,feature.SpeciesProp.managed.SS,,74
6,feature.SpeciesProp.managed.YC,,74
6,feature.Yield.managed.CW,,85
6,feature.Yield.managed.FDC,,86
6,feature.Yield.managed.HW,,87
6,feature.Yield.managed.Total,,88
7,feature.Area.managed,,2
7,feature.Area.og1.CWHvm_FDC_HW_H,,35
7,feature.Area.og1.total,,35
7,feature.Area.og2.CWHvm_FDC_HW_H,,1
7,feature.Area.og2.total,,1
7,feature.QMD.managed.CWHvm_FDC_HW_H,,94
7,feature.SpeciesProp.managed.BA,,74
7,feature.SpeciesProp.managed.CW,,40
7,feature.SpeciesProp.managed.DR,,74
7,feature.SpeciesProp.managed.FDC,,41
7,feature.SpeciesProp.managed.HW,,42
7,feature.SpeciesProp.managed.PL,,74
7,feature.SpeciesProp.managed.PLC,,74
7,feature.SpeciesProp.managed.SS,,74
7,feature.SpeciesProp.managed.YC,,74
7,feature.Yield.managed.CW,,95
7,feature.Yield.managed.FDC,,96
7,feature.Yield.managed.HW,,97
7,feature.Yield.managed.Total,,98
8,feature.Area.managed,,2
8,feature.Area.og1.CWHvm_FDC_HW_H,,35
8,feature.Area.og1.total,,35
8,feature.Area.og2.CWHvm_FDC_HW_H,,1
8,feature.Area.og2.total,,1
8,feature.QMD.managed.CWHvm_FDC_HW_H,,104
8,feature.SpeciesProp.managed.BA,,74
8,feature.SpeciesProp.managed.CW,,40
8,feature.SpeciesProp.managed.DR,,74
8,feature.SpeciesProp.managed.FDC,,41
8,feature.SpeciesProp.managed.HW,,42
8,feature.SpeciesProp.managed.PL,,74
8,feature.SpeciesProp.managed.PLC,,74
8,feature.SpeciesProp.managed.SS,,74
8,feature.SpeciesProp.managed.YC,,74
8,feature.Yield.managed.CW,,105
8,feature.Yield.managed.FDC,,106
8,feature.Yield.managed.HW,,107
8,feature.Yield.managed.Total,,108
9,feature.Area.og1.CWHvm_HW_CW_M,,113
9,feature.Area.og1.total,,113
9,feature.Area.og2.CWHvm_HW_CW_M,,1
9,feature.Area.og2.total,,1
9,feature.Area.unmanaged,,2
9,feature.QMD.unmanaged.CWHvm_HW_CW_M,,114
9,feature.Seral.CWHvm_HW_CW_M.immature,,115
9,feature.Seral.CWHvm_HW_CW_M.mature,,116
9,feature.Seral.CWHvm_HW_CW_M.overmature,,117
9,feature.Seral.CWHvm_HW_CW_M.regenerating,,7
9,feature.Seral.CWHvm_HW_CW_M.young,,8
9,feature.Seral.immature,,115
9,feature.Seral.mature,,116
9,feature.Seral.overmature,,117
9,feature.Seral.regenerating,,7
9,feature.Seral.young,,8
9,feature.SpeciesProp.unmanaged.CW,,11
9,feature.SpeciesProp.unmanaged.FDC,,9
9,feature.SpeciesProp.unmanaged.HW,,118
9,feature.Yield.unmanaged.CW,,119
9,feature.Yield.unmanaged.FDC,,120
9,feature.Yield.unmanaged.HW,,121
9,feature.Yield.unmanaged.Total,,122
10,feature.Area.managed,,2
10,feature.Area.og1.CWHvm_HW_CW_M,,113
10,feature.Area.og1.total,,113
10,feature.Area.og2.CWHvm_HW_CW_M,,1
10,feature.Area.og2.total,,1
10,feature.QMD.managed.CWHvm_HW_CW_M,,123
